"Clave","Tipo de Incidencia","Principal","Resumen","Estado","Persona asignada","Sprint","Start date","Fecha de inicio deducida","Fecha de vencimiento","Fecha de vencimiento deducida","Issue color"
"SCRUM-3","Epic","","Análisis","Finalizada","Andres Ramirez","","2025/09/02","2025/09/02","2025/09/15","2025/09/15","dark_green"
"SCRUM-4","Historia","SCRUM-3","Reunión inicial y definición de objetivos","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-5","Historia","SCRUM-3","Identificación de roles y usuarios","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-6","Historia","SCRUM-3","Requerimientos funcionales y técnicos","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-7","Historia","SCRUM-3","Estudio de librerías de conexion a base de datos","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-29","Tarea","SCRUM-3","Fase 1: Propuesta y fundamentos","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-30","Tarea","SCRUM-3","Fase1: Metodos de recoleccion de datos (Cuestionario)","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-8","Epic","","Planeación","Finalizada","Andres Ramirez","","2025/09/16","2025/09/16","2025/09/25","2025/09/25","teal"
"SCRUM-9","Historia","SCRUM-8","Definición de alcance y entregables","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-10","Historia","SCRUM-8","Asignación de tareas y cronograma","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-11","Historia","SCRUM-8","Selección de herramientas y plan de pruebas","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-31","Tarea","SCRUM-8","Análisis de costos","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-32","Tarea","SCRUM-8","Recopilación de datos","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-33","Tarea","SCRUM-8","Diseño de diagramas de casos de uso","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-34","Tarea","SCRUM-8","Diseño de Diagramas Entidad Relacion (E-R)","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-35","Tarea","SCRUM-8","Diagramas de Clases","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-12","Epic","","Diseño","Finalizada","RENE LOREA AYALA","","2025/09/26","2025/09/26","2025/10/09","2025/10/09","yellow"
"SCRUM-13","Historia","SCRUM-12","Bocetos de interfaz y flujo de insidentes","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-14","Historia","SCRUM-12","Modelo entidad-relación y arquitectura técnica","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-37","Tarea","SCRUM-12","Definicion de diagramas de casos de uso especificos","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-36","Tarea","SCRUM-12","Definicion de requerimientos","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-15","Historia","SCRUM-12","Identidad visual y estilo institucional","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-16","Epic","","Desarrollo","Finalizada","Andres Ramirez","","2025/10/10","2025/10/10","2025/11/13","2025/11/13","purple"
"SCRUM-17","Historia","SCRUM-16","Configuración de entorno y repositorio","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-18","Historia","SCRUM-16","Módulo de creacion de incidencias","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-19","Historia","SCRUM-16","API REST para comunicacion entre modulos","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-20","Historia","SCRUM-16","Interfaz móvil y conexión con backend","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-21","Historia","SCRUM-16","Validaciones y seguridad (JWT)","Finalizada","RENE LOREA AYALA","","","","","","purple"
"SCRUM-22","Epic","","Pruebas","Finalizada","Andres Ramirez","","2025/11/14","2025/11/14","2025/11/25","2025/11/25","dark_yellow"
"SCRUM-23","Historia","SCRUM-22","Pruebas unitarias y funcionales","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-24","Historia","SCRUM-22","Corrección de errores y ajustes","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-25","Epic","","Entrega","Finalizada","RENE LOREA AYALA","","2025/11/26","2025/11/26","2025/12/07","2025/12/07","green"
"SCRUM-26","Historia","SCRUM-25","Documentación técnica y manual de usuario","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-27","Historia","SCRUM-25","Presentación final y retroalimentación","Finalizada","Andres Ramirez","","","","","","purple"
"SCRUM-28","Historia","SCRUM-25","Empaquetado y cierre de proyecto","Finalizada","RENE LOREA AYALA","","","","","","purple"
